Дзодзуашвілі,Дзодзуашвили,,2,
Дмитрієв,Дмитриев,,2,
Дмитрієва,Дмитриева,,2,
Добржанська,Добржанская,,2,
Добровольська,Добровольская,,2,
Довнар-Запольська,Довнар-Запольская,,2,
Долинська,Долинская,,2,
Долінський,Долинский,,2,
Дом'є,Домье,,2,
Доманська,Доманская,,2,
Дорофієнко,Дорофеенко,,2,
Дріжчаний,Дрижчаный,,2,
Дубенська,Дубенская,,2,
Дубинянська,Дубинянская,,2,
Дубровська,Дубровская,,2,
Дубінін,Дубинин,,2,
Дудинська,Дудинская,,2,
Дунаєвський,Дунаевский,,2,
Дягілєв,Дягилев,,2,
Дягілєва,Дягилева,,2,
Дідик,Дидык,,2,
Дідковський,Дидковский,,2,
Дікінсон,Диккинсон,,2,
Діріхле,Дирихле,,2,
Едісон,Эдисон,,2,
Ейзенхауер,Эйзенхауэр,,2,
Екзюпері,Экзюпери,,2,
Еллінгтон,Эллингтон,,2,
Еліассон,Элиассон,,2,
Емсіс,Эмсис,,2,
Емінеску,Эминеску,,2,
